Corporate shift (22:00 - 6:00) arrival times,answer times,completion times,,,,
1320.220855360964,1320.220855, 1324.4541631347133,,,,
1323.6624453499307,1323.662445, 1325.0179266155403,,,,
1324.0541095160254,1325.017927, 1328.7482325682975,,,,
1323.877063700537,1324.454163, 1328.852783152813,,,,
1337.9526129008268,1337.952613, 1340.2757997588023,,,,
1336.6322655915076,1336.632266, 1340.3597406327565,,,,
1340.0568114018445,1340.359741, 1343.8359662264634,,,,
1339.8367918020435,1340.2758, 1344.9770490803487,,,,
1345.8607842811996,1345.860784, 1347.3192909531087,,,,
1349.4129881913523,1349.412988, 1351.402275251353,,,,
1346.9232539174272,1346.923254, 1352.3885094043235,,,,
1350.0101728676195,1351.402275, 1354.7274774356376,,,,
1356.3442757057928,1356.344276, 1360.6789690524645,,,,
1357.8946773856105,1357.894677, 1361.610920661549,,,,
1368.446190177144,1368.44619, 1370.4920276186754,,,,
1368.6583461319149,1368.658346, 1371.1182910309326,,,,
1381.8940994404684,1381.894099, 1386.8127055255893,,,,
1384.5995944624867,1384.599594, 1388.5675038368854,,,,
1398.0838217937987,1398.083822, 1400.8453882131594,,,,
1417.266679168763,1417.266679, 1419.511716454473,,,,
1429.4074360871732,1429.407436, 1434.9653139795814,,,,
1433.103604255109,1433.103604, 1435.6990029836297,,,,
1444.9306174261799,1444.930617, 1447.8804535760462,,,,
1453.7404709504374,1453.740471, 1457.6499179452812,,,,
1457.8169792308636,1457.816979, 1461.519705024641,,,,
1464.8733132657096,1464.873313, 1468.7919647740912,,,,
1478.3546494454793,1478.354649, 1481.8160671140788,,,,
1484.1011041487957,1484.101104, 1486.7730225558635,,,,
1482.2114467885567,1482.211447, 1487.0020213308503,,,,
1484.6104945856143,1486.773023, 1489.1603250070114,,,,
1485.6668992352631,1489.160325, 1492.3384965685311,,,,
1485.2212021696923,1487.002021, 1493.4431257934366,,,,
1485.7868805061846,1492.338497, 1496.416293047296,,,,
1488.8306889144835,1493.443126, 1497.3210881217697,,,,
1490.0197711229323,1496.416293, 1501.4858893977037,,,,
1500.8912146790274,1500.891215, 1503.963700000117,,,,
1505.5914470783373,1505.591447, 1510.081513234041,,,,
1516.0395569385641,1516.039557, 1519.2575518928584,,,,
1518.7102332319162,1518.710233, 1524.7311328863768,,,,
1520.8363672555988,1520.836367, 1525.6140328680117,,,,
1526.0628686318485,1526.062869, 1529.1345517725997,,,,
1525.1306840310624,1525.130684, 1531.1648664547463,,,,
1527.3377241858052,1529.134552, 1533.752414297519,,,,
1530.8056790212838,1531.164866, 1535.380642872904,,,,
1531.3286989333074,1533.752414, 1535.8730959888655,,,,
1535.3602921483296,1535.380643, 1538.6910849646572,,,,
1539.6015758148073,1539.601576, 1542.8135870948104,,,,
1541.5474421898857,1541.547442, 1546.5075613246124,,,,
1550.6330669303202,1550.633067, 1553.7709039477731,,,,
1551.9514226084239,1551.951423, 1554.246584689593,,,,
1552.4492707654092,1553.770904, 1559.0150673059027,,,,
1556.8281767644512,1559.015067, 1560.435458512399,,,,
1556.3634937933687,1556.363494, 1561.2858859126793,,,,
1564.0858541147431,1564.085854, 1566.9248077595284,,,,
1566.7265936122692,1566.726594, 1567.4765936122692,,,,
1567.0399328819828,1567.039933, 1569.3456796726828,,,,
1572.3090189709571,1572.309019, 1576.4383691958722,,,,
1573.9838978992802,1573.983898, 1579.1339554865804,,,,
1583.131979736747,1583.13198, 1584.341216568895,,,,
1586.4735535196767,1586.473554, 1589.0996575186612,,,,
1600.7460749875397,1600.746075, 1603.3970091348258,,,,
1599.1297444748004,1599.129744, 1604.8559775146005,,,,
1622.6195636453708,1622.619564, 1625.6290867533037,,,,
1623.1213925175568,1623.121393, 1626.262736997664,,,,
1639.6034854644404,1639.603485, 1643.4363245047457,,,,
1642.0580245133474,1642.058025, 1644.1110916240511,,,,
1645.6476234832965,1645.647623, 1648.5586266626194,,,,
1653.370187801089,1653.370188, 1654.7188994510395,,,,
1661.4912504316594,1661.49125, 1666.173877461434,,,,
1674.0861391848225,1674.086139, 1678.0291649982312,,,,
1687.0228882085607,1687.022888, 1690.4604108207739,,,,
1691.8178561177529,1691.817856, 1697.0188384241637,,,,
1698.696595992344,1698.696596, 1700.484401310627,,,,
1701.347668912053,1701.347669, 1703.2171893338036,,,,
1705.9058234188126,1705.905823, 1709.5456456391405,,,,
1707.3088646149015,1707.308865, 1713.1510061240347,,,,
1711.7407032341232,1711.740703, 1714.4931428874374,,,,
1715.6032284969633,1715.603228, 1719.0841007383708,,,,
1717.9582530147072,1717.958253, 1722.9676330340767,,,,
1725.3071347643038,1725.307135, 1730.1423790567062,,,,
1730.522323774298,1730.522324, 1736.3142155552891,,,,
1731.711570485983,1731.71157, 1736.329024729832,,,,
1732.8466115619738,1736.329025, 1738.053549344252,,,,
1732.2770541782616,1736.314216, 1739.396319312848,,,,
1734.5244699042657,1738.053549, 1740.3235632386538,,,,
1740.6345965096637,1740.634597, 1744.1016663253756,,,,
1741.9514622288582,1741.951462, 1745.5148593096774,,,,
1743.5475892215543,1744.101666, 1747.8585406856296,,,,
1747.4258608915186,1747.425861, 1749.9961090170427,,,,
1751.964436109068,1751.964436, 1755.9857129409381,,,,
1757.9976467983652,1757.997647, 1761.6258105328548,,,,
1774.9074291330867,1774.907429, 1779.2100476686041,,,,
1781.3041602257138,1781.30416, 1782.8611233152535,,,,
